device_uuid,device_id,device_type,operating_system,browser,owner_id,trusted
b641d449-31f0-4021-9b6f-be204b3a9a83,DEV-0001,Desktop,macOS,Safari,EMP-0001,True
08207d4e-812f-4d98-b777-6609db576a7f,DEV-0002,Laptop,Windows,Chrome,EMP-0001,True
fcba6c80-8c7a-4939-bf0d-d3c2ac4dcd33,DEV-0003,Laptop,macOS,Chrome,EMP-0001,True
3e4c943a-3dab-4a61-8a69-3650a9a2e9cd,DEV-0004,Laptop,Linux,Chrome,EMP-0002,True
fe4cefed-6f55-4c9e-9b00-0f9f16e500e5,DEV-0005,Laptop,macOS,Safari,EMP-0002,True
b81bda1d-386a-4050-87c5-8839c42cd0ba,DEV-0006,Laptop,Windows,Firefox,EMP-0003,True
ec38704b-22c0-4ee9-aa5c-a8cd1f835b8d,DEV-0007,Laptop,Linux,Firefox,EMP-0003,True
9372e80d-ee89-4190-b94b-5d35df377ff8,DEV-0008,Desktop,Windows,Edge,EMP-0004,True
b99b70d6-bc6a-48a7-be33-2380b7aa53b6,DEV-0009,Laptop,macOS,Chrome,EMP-0005,True
3bbdf80c-cef6-4a14-afdc-c21bdb2c0eb7,DEV-0010,Laptop,macOS,Safari,EMP-0005,True
302b0401-efed-498b-979a-7368bd96bb0a,DEV-0011,Laptop,Linux,Chrome,EMP-0006,True
bca6a6b0-93b0-427e-a154-7769f43dd740,DEV-0012,Laptop,Windows,Firefox,EMP-0007,True
6c778135-fad7-4ab7-a35d-8150d8dcc3a5,DEV-0013,Laptop,Windows,Chrome,EMP-0007,True
973d1855-9a03-4d06-a9eb-0bf9850e6d30,DEV-0014,Laptop,Windows,Edge,EMP-0008,True
d0ef1299-250b-4c5a-90e0-8a8175ea1023,DEV-0015,Laptop,Linux,Firefox,EMP-0008,True
bf3f51d5-2557-482c-888c-6ea499f9a338,DEV-0016,Desktop,Windows,Chrome,EMP-0009,True
51f4a724-9950-4858-88ca-c260b3f5a21c,DEV-0017,Mobile,Android,Chrome,EMP-0009,True
92efd363-b4de-44a4-9900-da4bff317846,DEV-0018,Laptop,macOS,Chrome,EMP-0009,True
cf69ef2d-fb2c-4c83-8f0e-5767606ffa15,DEV-0019,Laptop,Linux,Firefox,EMP-0010,True
bc5882ec-b34d-4663-b99e-4d08cf7798cc,DEV-0020,Laptop,Linux,Firefox,EMP-0011,True
d0a4a31a-fc00-43e7-8c91-ef0e644d852c,DEV-0021,Desktop,Linux,Chrome,EMP-0012,True
793228b9-ad8a-44bc-ac24-dcaa566082e1,DEV-0022,Desktop,macOS,Safari,EMP-0013,True
4849032c-4875-4d16-ba0c-96e28720d00f,DEV-0023,Mobile,Android,Chrome,EMP-0013,True
ca9128fb-c094-4932-92cb-8f692182b518,DEV-0024,Laptop,Windows,Chrome,EMP-0014,True
a79617c4-7520-499e-8dd7-cb5cb5a78756,DEV-0025,Laptop,macOS,Safari,EMP-0014,True
cdea6f52-37d7-4ab3-b5b3-3f5425131cd4,DEV-0026,Laptop,Windows,Chrome,EMP-0015,True
c9167a93-ada6-4c4b-9a19-40e4935fe6e2,DEV-0027,Desktop,Linux,Firefox,EMP-0016,True
2b10a823-d777-4933-adf0-1fe06d572692,DEV-0028,Mobile,iOS,Chrome,EMP-0016,True
1e0a7157-0d6e-401e-b1ef-a9632dfc6b9c,DEV-0029,Mobile,iOS,Chrome,EMP-0016,True
3eb862c6-676c-469f-b8f9-1075a08145d2,DEV-0030,Laptop,Linux,Firefox,EMP-0017,True
2c281bbd-f45d-4d91-989d-a530b01fb9f3,DEV-0031,Laptop,Linux,Chrome,EMP-0017,True
16f0c19c-a894-411e-abb5-58e1cb9a6ed5,DEV-0032,Laptop,Linux,Firefox,EMP-0017,True
02f86044-5e08-4249-b1f3-4593a737d19b,DEV-0033,Desktop,macOS,Chrome,EMP-0018,True
399557cb-827e-40b2-a892-0b25ab35f75a,DEV-0034,Laptop,Windows,Chrome,EMP-0018,True
97c6eb3c-cb5a-4c0e-9834-a40dbecfdded,DEV-0035,Laptop,Windows,Chrome,EMP-0019,True
534234cf-1974-4b71-a00f-7ed09248c8c8,DEV-0036,Laptop,Windows,Chrome,EMP-0020,True
64cfd9b9-050e-4961-b363-d272d0181ce6,DEV-0037,Desktop,Windows,Chrome,EMP-0021,True
89fab5cc-95b0-4f8a-964f-10b584d6b400,DEV-0038,Laptop,macOS,Chrome,EMP-0022,True
351c586a-c0c3-459e-80e5-ea1a1fc45171,DEV-0039,Mobile,Android,Chrome,EMP-0022,True
727dda84-8e02-4ef0-815c-e9f42e106355,DEV-0040,Desktop,Linux,Firefox,EMP-0023,True
167b6ea0-2945-4370-a713-72ab34cb7b9a,DEV-0041,Mobile,iOS,Safari,EMP-0023,True
4c6f9a45-8192-4f8f-9fed-7603fadc9704,DEV-0042,Laptop,Windows,Chrome,EMP-0023,True
0bd18d4a-4cf4-4edd-bf93-04fa00059b9d,DEV-0043,Laptop,Windows,Firefox,EMP-0024,True
88baef4a-a8be-4d1f-8b1c-0df3c865b35c,DEV-0044,Mobile,Android,Chrome,EMP-0024,True
9b2e18c0-5a24-491d-bf2e-1955fc6bc66b,DEV-0045,Laptop,Windows,Chrome,EMP-0025,True
0b73ca1c-d1dc-41e5-a9a1-44751958a981,DEV-0046,Mobile,Android,Chrome,EMP-0025,True
8d548038-9a26-4279-a25b-74adf519ab52,DEV-0047,Laptop,Linux,Firefox,EMP-0026,True
42bb8f63-4145-4abc-8cc2-e0f013093c17,DEV-0048,Laptop,Windows,Edge,EMP-0027,True
f0b0e729-6ce3-4d67-ad30-c94b4111e681,DEV-0049,Desktop,Windows,Chrome,EMP-0028,True
44f760a8-bb90-4511-a12b-61ae12101787,DEV-0050,Mobile,Android,Chrome,EMP-0028,True
82ece8aa-d20c-4375-a5d4-53c4a845fee9,DEV-0051,Laptop,Windows,Chrome,EMP-0029,True
c9ac376c-fe11-430e-90fc-fdaa274b369e,DEV-0052,Mobile,Android,Chrome,EMP-0029,True
880e6ddd-1fe7-4d21-8526-ed6213d8a6e6,DEV-0053,Laptop,Windows,Edge,EMP-0029,True
c72fa86e-5561-4496-a8c4-4e4c5ce1bcc2,DEV-0054,Laptop,Windows,Edge,EMP-0030,True
38e3c67d-f801-4a19-babf-8aef608d4b54,DEV-0055,Desktop,Linux,Chrome,EMP-0031,True
96bd5e9f-4e7a-481e-a021-8cafba73aa4e,DEV-0056,Laptop,Windows,Chrome,EMP-0032,True
4563cafe-8d31-4f34-8830-effedd8abf0a,DEV-0057,Laptop,Windows,Edge,EMP-0033,True
c07abe48-f24e-4fd6-9168-36122bb61a4e,DEV-0058,Mobile,Android,Firefox,EMP-0033,True
8d3a5b2d-881c-4211-89eb-597bf7ceddc4,DEV-0059,Laptop,Windows,Edge,EMP-0033,True
b695c2bf-8379-45ed-afc8-d769026e6d11,DEV-0060,Desktop,Windows,Chrome,EMP-0034,True
44725ab7-bc44-4417-914b-a9bb60f91495,DEV-0061,Mobile,iOS,Safari,EMP-0034,True
6b1205aa-9bd3-4580-ad9f-835f3fc5c786,DEV-0062,Laptop,macOS,Safari,EMP-0035,True
f3dea9dc-469c-458b-896d-036a8092189b,DEV-0063,Laptop,macOS,Safari,EMP-0036,True
a2b8fdcc-4e20-4377-ba90-48ccd063d3e7,DEV-0064,Laptop,macOS,Safari,EMP-0036,True
13a22a82-1458-471d-a27a-2bda1713742b,DEV-0065,Desktop,Windows,Chrome,EMP-0037,True
492d85a7-be50-4500-95a7-5ed90eb2858f,DEV-0066,Mobile,Android,Chrome,EMP-0037,True
eeb47b07-8239-41c4-ad52-09e76c8a30c1,DEV-0067,Laptop,macOS,Firefox,EMP-0038,True
ad411244-ff79-40f4-af64-257283d7cafc,DEV-0068,Mobile,Android,Chrome,EMP-0038,True
01ddc628-bef4-4f0c-94d6-761ce92fd9fd,DEV-0069,Laptop,Windows,Edge,EMP-0039,True
a942b4d7-bd2d-4fff-be85-544c3e859c67,DEV-0070,Mobile,Android,Chrome,EMP-0039,True
72dadc21-9b7c-4539-8ad7-d77c9bf41cc6,DEV-0071,Desktop,macOS,Safari,EMP-0040,True
2cc09f87-399e-4823-a75f-58ba86052bef,DEV-0072,Mobile,Android,Firefox,EMP-0040,True
7ed99a6b-6c37-46c2-8d08-367ef3d5f737,DEV-0073,Laptop,macOS,Safari,EMP-0040,True
d9cc8656-8a03-4e43-94ec-05953ff09d13,DEV-0074,Laptop,Linux,Firefox,EMP-0041,True
a194c7b1-bcef-40f8-8092-6d61368b7d68,DEV-0075,Laptop,Linux,Chrome,EMP-0042,True
83f9b580-a499-4b92-b589-de14eee06433,DEV-0076,Laptop,Linux,Chrome,EMP-0042,True
0eb81b17-7cff-47e3-992d-95199e24c724,DEV-0077,Mobile,iOS,Safari,EMP-0042,True
b8f16861-e3e3-473b-9987-5c7d0151ccb0,DEV-0078,Laptop,Linux,Chrome,EMP-0043,True
e604bfbe-83aa-422f-8772-df4a15b1c4a6,DEV-0079,Laptop,Windows,Chrome,EMP-0044,True
787fb578-39e1-409d-8008-d4daa819213d,DEV-0080,Laptop,Windows,Chrome,EMP-0045,True
fd474d95-1bd3-4f41-84fc-c054cfc15689,DEV-0081,Laptop,Linux,Chrome,EMP-0046,True
017cc74e-6f18-4343-bf41-5c985a8e8f05,DEV-0082,Laptop,macOS,Chrome,EMP-0046,True
6bca4f86-6500-4793-a238-dfc60a4e3ccf,DEV-0083,Desktop,Windows,Chrome,EMP-0047,True
fba13732-aa4d-4bb8-b5ae-d2e97ab3137c,DEV-0084,Desktop,Linux,Chrome,EMP-0048,True
209f839f-b6dd-4d11-ae86-4837ccc10250,DEV-0085,Laptop,Linux,Firefox,EMP-0048,True
bdecb67a-ec6e-4294-b9da-c7798079cdc9,DEV-0086,Laptop,Windows,Firefox,EMP-0048,True
581848c5-27d1-4990-a049-a289056a3b28,DEV-0087,Laptop,Linux,Chrome,EMP-0049,True
6dfe8745-5796-4d64-9470-1dd2ada5beb9,DEV-0088,Laptop,Windows,Chrome,EMP-0049,True
15263fef-7c65-4bfb-883f-ca724a1a7c2e,DEV-0089,Mobile,Android,Chrome,EMP-0049,True
1d71f339-c448-42af-87f8-b6f13fdd0e2b,DEV-0090,Laptop,Linux,Firefox,EMP-0050,True
79510a45-32cb-48ba-addd-5c02d2137565,DEV-0091,Mobile,Android,Chrome,EMP-0050,True
dad8e2da-fe17-4db3-b04c-9c7b2e625a6f,DEV-0092,Desktop,Windows,Chrome,EMP-0051,True
461bcbc3-09d2-41e0-a6ba-7e5121de2360,DEV-0093,Laptop,Windows,Chrome,EMP-0051,True
615eca80-0d0b-4920-9d46-0c9117478b5c,DEV-0094,Desktop,Linux,Firefox,EMP-0052,True
6d134ea8-560f-4071-b8c6-430f3b3ed7bd,DEV-0095,Laptop,Linux,Firefox,EMP-0052,True
5d13539c-44ed-4fd5-9c2c-8fb14de5f2f7,DEV-0096,Laptop,macOS,Safari,EMP-0052,True
00231f70-0a77-45cc-ae87-46510c2ca7fa,DEV-0097,Laptop,Linux,Chrome,EMP-0053,True
6e4ff4a4-19cb-44c8-9b45-03bce892464d,DEV-0098,Desktop,Linux,Chrome,EMP-0054,True
aed690cc-037f-4347-ab40-256118cd99c9,DEV-0099,Desktop,Windows,Chrome,EMP-0055,True
96c2e045-c75f-4b36-be30-cae95c83b98e,DEV-0100,Desktop,Windows,Edge,EMP-0056,True
1b3ac54c-e31f-4212-9654-c83f62510f01,DEV-0101,Laptop,macOS,Chrome,EMP-0057,True
d141b9e4-a783-41c8-a250-891ae9846baa,DEV-0102,Laptop,Windows,Chrome,EMP-0058,True
4d2d8efd-57c8-494c-9e77-76ae8bec9a50,DEV-0103,Laptop,Windows,Chrome,EMP-0059,True
6b0ffa79-3113-413a-a0b9-98300b373468,DEV-0104,Desktop,Windows,Edge,EMP-0060,True
8f72d6af-e825-449a-9899-39bada7aee9f,DEV-0105,Laptop,Windows,Firefox,EMP-0060,True
7b9a21c4-1155-481f-afa5-f03fe92d6961,DEV-0106,Desktop,Linux,Firefox,EMP-0061,True
462e9af3-9962-4263-aabc-42b1059997f6,DEV-0107,Laptop,Windows,Chrome,EMP-0061,True
f8f40e49-cb5d-4aff-8f90-27d590f0d47c,DEV-0108,Laptop,Linux,Chrome,EMP-0061,True
1332406f-f8b6-4dee-8373-edf3dec91438,DEV-0109,Desktop,Windows,Edge,EMP-0062,True
9b72a9fe-669e-498d-a3e7-3896c784ef4b,DEV-0110,Laptop,Windows,Chrome,EMP-0062,True
edba84d1-e110-4d91-8244-bc44b25c5b50,DEV-0111,Laptop,Linux,Chrome,EMP-0063,True
4bde7d88-3867-462d-9a3b-ce8e4dac49f6,DEV-0112,Laptop,Windows,Chrome,EMP-0064,True
4ab63e0f-3cfb-4642-8897-c4970bad4234,DEV-0113,Mobile,Android,Chrome,EMP-0064,True
df96048a-453b-47f5-a20a-69d3ed601f49,DEV-0114,Laptop,Linux,Firefox,EMP-0064,True
a60da1aa-005b-4f73-9dbe-4a3c88db3692,DEV-0115,Laptop,Windows,Edge,EMP-0065,True
e24cee91-b499-4393-b249-1816154f9eb4,DEV-0116,Laptop,Windows,Chrome,EMP-0065,True
a03e9b5d-0ea8-40ee-bc3a-156a531b49d8,DEV-0117,Laptop,Windows,Edge,EMP-0066,True
0400e249-f8bb-4616-8188-60b92d3e854b,DEV-0118,Desktop,Windows,Firefox,EMP-0067,True
95509b75-c7cf-4659-b063-6972c737327a,DEV-0119,Mobile,Android,Firefox,EMP-0067,True
a05095fa-deba-4297-81e1-5f65a7610e80,DEV-0120,Laptop,Windows,Chrome,EMP-0067,True
a13a9da2-94e7-4b2a-b434-02ef44cfa6ba,DEV-0121,Laptop,macOS,Chrome,EMP-0068,True
bad4f3e0-3b52-4525-b230-b85b27d81ea0,DEV-0122,Mobile,Android,Chrome,EMP-0068,True
d0cb079f-2f5d-4f13-b59a-97252e77abe3,DEV-0123,Laptop,macOS,Chrome,EMP-0069,True
2e2f2127-babf-4375-b17f-b7867d929cc0,DEV-0124,Mobile,Android,Chrome,EMP-0069,True
3016cecc-9b9a-4a55-aff7-45a064ea1dd3,DEV-0125,Laptop,Windows,Chrome,EMP-0070,True
670a858c-f86b-4e95-a526-80b3e8bcd007,DEV-0126,Laptop,Windows,Chrome,EMP-0070,True
624d3473-60bc-4cbc-9987-e6d09a7171aa,DEV-0127,Laptop,Windows,Edge,EMP-0071,True
c5266dc8-3f93-4724-a1d6-7c730b328c23,DEV-0128,Desktop,Windows,Edge,EMP-0072,True
caaa4685-f526-4edf-8267-c983f7636b4d,DEV-0129,Laptop,macOS,Chrome,EMP-0073,True
c279d913-7afd-4923-a3a4-957133cb59ef,DEV-0130,Laptop,Linux,Firefox,EMP-0074,True
8b248c7e-0e4d-4b72-be6a-41f1278e2f60,DEV-0131,Laptop,Linux,Chrome,EMP-0075,True
8b6daa25-1a52-4aa2-8b66-0bcdd32e4757,DEV-0132,Laptop,Windows,Chrome,EMP-0075,True
3a0761d9-0624-4bdf-b96c-8f79e983c62e,DEV-0133,Laptop,macOS,Chrome,EMP-0076,True
afcfea4d-627e-41e1-af35-fbc0e1057ec8,DEV-0134,Laptop,Windows,Chrome,EMP-0077,True
fda2f9a0-2b68-48e3-bde7-f41a1cc6d08a,DEV-0135,Mobile,Android,Chrome,EMP-0077,True
5c494d63-1e4c-4fdf-956e-fce49d9e4da2,DEV-0136,Laptop,macOS,Chrome,EMP-0078,True
55b85720-87cd-4444-adba-97542d95d98d,DEV-0137,Desktop,macOS,Safari,EMP-0079,True
afe9c3dc-aad2-4db6-a4a3-5a102674d1ff,DEV-0138,Mobile,Android,Chrome,EMP-0079,True
7fcee629-ea8e-45a5-8566-5e791a9aab54,DEV-0139,Laptop,macOS,Chrome,EMP-0079,True
dc994976-008e-4990-89f2-79a8138cf37a,DEV-0140,Desktop,macOS,Safari,EMP-0080,True
25d4ec19-51fc-4c23-a586-dcd1a7e60e4e,DEV-0141,Mobile,Android,Chrome,EMP-0080,True
6d6d91e1-93ed-42c5-9cf8-5164113b776e,DEV-0142,Laptop,macOS,Chrome,EMP-0081,True
5a449143-6290-4017-847d-336f2e8f2f7f,DEV-0143,Laptop,Windows,Firefox,EMP-0082,True
a2f87dea-cb22-4b8d-9a0b-d63d69f841b0,DEV-0144,Laptop,Windows,Edge,EMP-0082,True
8ca17f75-6b2d-470a-a218-6d103ef3d5be,DEV-0145,Laptop,Windows,Edge,EMP-0082,True
b70510f8-94ba-4d7c-9567-f88e6276ee87,DEV-0146,Laptop,Windows,Edge,EMP-0083,True
5c98fd57-3c35-4ce2-9656-07c0b3fdec76,DEV-0147,Laptop,Windows,Edge,EMP-0084,True
79533cb7-8ef1-4114-9cc6-24ef04643f52,DEV-0148,Mobile,iOS,Chrome,EMP-0084,True
c75566c2-dde4-4d87-996d-a200d947c72a,DEV-0149,Desktop,Windows,Chrome,EMP-0085,True
ee6c69f7-f8c9-4b4a-8d2f-2114da72ab37,DEV-0150,Mobile,iOS,Safari,EMP-0085,True
1e032a65-2346-426d-bf3b-16810e4d364e,DEV-0151,Mobile,iOS,Safari,EMP-0085,True
0dd867e5-5f26-42a6-acb9-b655f7048d14,DEV-0152,Laptop,Linux,Chrome,EMP-0086,True
287e09f1-ded7-445e-980b-82cbd66248bf,DEV-0153,Mobile,Android,Chrome,EMP-0086,True
d4c0df28-91b5-4cb4-8331-bd0d13ba8d24,DEV-0154,Laptop,Linux,Chrome,EMP-0086,True
f2e2503a-b2d5-45d1-8706-f724bf83f2d4,DEV-0155,Laptop,Linux,Firefox,EMP-0087,True
0361b157-b1fb-4587-a514-b3fcc809a0b4,DEV-0156,Laptop,Linux,Chrome,EMP-0087,True
2c6fc084-c04a-4f68-9aab-1efb0838f528,DEV-0157,Laptop,Linux,Firefox,EMP-0087,True
b61ec0ed-8ddd-4994-b44c-c6aee03fff2c,DEV-0158,Laptop,Windows,Edge,EMP-0088,True
45967e76-2824-462d-ae73-85d86c75a765,DEV-0159,Desktop,macOS,Safari,EMP-0089,True
6680c5e3-363c-4c32-be3e-14022008bd4c,DEV-0160,Mobile,Android,Firefox,EMP-0089,True
13c3fc1b-d77a-40b8-9ae6-befe8f2de908,DEV-0161,Laptop,Windows,Edge,EMP-0090,True
61667c7c-d3c6-45a0-a7b4-a019a452f530,DEV-0162,Mobile,iOS,Safari,EMP-0090,True
5cda0385-13eb-4358-9ab9-f6621bc02912,DEV-0163,Desktop,Windows,Chrome,EMP-0091,True
363fbae9-10b8-41c5-9b41-42aa8aa431e9,DEV-0164,Desktop,Windows,Chrome,EMP-0092,True
ede02d33-a36d-4567-b3a4-4f408d3ba57f,DEV-0165,Laptop,macOS,Chrome,EMP-0092,True
7bdac670-ca4c-4b4d-bc8a-de6a9051385e,DEV-0166,Laptop,macOS,Safari,EMP-0093,True
f56febb1-484b-424b-806e-10295b4d5bbf,DEV-0167,Laptop,macOS,Chrome,EMP-0094,True
