session_uuid,session_id,employee_uuid,employee_id,department,role,device_id,browser,operating_system,office_location,login_method,remote_session,day_of_week,start_time,end_time,duration_seconds,risk_score,is_anomalous,attack_type
c55eacc4-c0fc-47a8-846e-77dc4778f699,SES-000001,83d1677a-79a6-4b72-9eae-b0c0a8ac1ab1,DEV-AGENT-0001,IT,IoT Sensor Agent,DEV-AGENT-0001,Firefox,Linux,New York,Office,False,Monday,2026-06-01 00:00:04,2026-06-01 00:10:04,600.00,0.00,False,None
e30809c6-f856-433e-bcc8-1f14f36350f5,SES-000002,7c0a8f90-9b54-4227-bbca-7ff671be0c72,DEV-AGENT-0007,IT,IoT Sensor Agent,DEV-AGENT-0007,Chrome,Linux,New York,Office,False,Monday,2026-06-01 01:30:50,2026-06-01 01:40:50,600.00,0.00,False,None
17527f66-39e1-41be-9c1d-ca113a613da7,SES-000003,5c784ca4-f0e4-4a0b-bd56-3b0ed11ce5c8,SVC-0001,IT,Service Account,SERVER-0001,Firefox,Linux,Munich,Office,False,Monday,2026-06-01 02:01:58,2026-06-01 02:18:49,1011.70,0.00,False,None
c0629338-a80d-420b-b11b-10931fdf7c0f,SES-000004,3fa029a6-d0a7-4b72-805e-5adeb3030188,SVC-0009,IT,Service Account,SERVER-0001,Chrome,Linux,Munich,Office,False,Monday,2026-06-01 02:04:21,2026-06-01 02:17:19,778.02,0.00,False,None
260b08f7-1ee0-4f95-9a4a-fea8676008d9,SES-000005,00ca280f-19a5-4942-8e67-b962548b9bb7,SVC-0004,IT,Service Account,SERVER-0001,Chrome,Linux,Munich,Office,False,Monday,2026-06-01 02:05:56,2026-06-01 02:21:11,915.17,0.00,False,None
58964e41-b296-4ee1-a271-50d9cffa6dc5,SES-000006,66dce997-b2c4-44a4-9edb-cef974f8a913,SVC-0005,IT,Service Account,SERVER-0001,Firefox,Linux,Munich,Office,False,Monday,2026-06-01 02:10:21,2026-06-01 02:23:36,795.86,0.00,False,None
189a8e78-de5b-443b-8f5e-b4bbdd6ee21e,SES-000007,9c5dfb8d-60e1-4973-a602-37edaa429203,SVC-0002,IT,Service Account,SERVER-0001,Firefox,Linux,Munich,Office,False,Monday,2026-06-01 02:14:47,2026-06-01 02:27:29,762.48,0.00,False,None
34419539-1ca4-4c8f-ada2-e39dc25f17ca,SES-000008,afa9d02c-9e4c-4be7-b3b0-e73d5e516bf8,SVC-0010,IT,Service Account,SERVER-0001,Firefox,Linux,Munich,Office,False,Monday,2026-06-01 02:21:10,2026-06-01 02:38:57,1067.67,0.00,False,None
89fd9781-2cb2-442e-b784-7830472982ab,SES-000009,f378cb94-478b-4f00-87d7-5309de772156,SVC-0008,IT,Service Account,SERVER-0001,Firefox,Linux,Munich,Office,False,Monday,2026-06-01 01:22:26,2026-06-01 01:37:15,889.00,40.00,True,Off-hours Access
f12dcb5b-11b8-445c-96c2-5018e6db2fb4,SES-000010,00ca280f-19a5-4942-8e67-b962548b9bb7,SVC-0004,IT,Service Account,SERVER-0001,Chrome,Linux,Munich,Office,False,Monday,2026-06-01 02:29:00,2026-06-01 02:46:39,1059.00,100.00,True,Malware Execution
058b814e-ef41-4c8f-b7b6-3077b461c946,SES-000011,3fa029a6-d0a7-4b72-805e-5adeb3030188,SVC-0009,IT,Service Account,SERVER-0001,Chrome,Linux,Munich,Office,False,Monday,2026-06-01 02:29:38,2026-06-01 02:49:05,1167.00,80.00,True,Lateral Movement
a0a4e426-2897-42d8-89b8-e7754dd4be49,SES-000012,5c784ca4-f0e4-4a0b-bd56-3b0ed11ce5c8,SVC-0001,IT,Service Account,SERVER-0001,Chrome,Linux,Munich,Office,False,Monday,2026-06-01 02:30:00,2026-06-01 02:49:12,1152.50,0.00,False,None
