feature,weight,gain,cover,rank_gain
upload_download_ratio,10.0,611.1436767578125,586.5921630859375,1
files_downloaded,125.0,301.6386413574219,506.20751953125,2
external_connections,153.0,272.5130310058594,462.1691589355469,3
powershell_executions,203.0,258.2858581542969,452.291748046875,4
total_upload_bytes,179.0,248.597412109375,392.5497131347656,5
unique_source_ips,209.0,228.97247314453125,427.43084716796875,6
session_start_hour,82.0,196.4912872314453,407.42779541015625,7
suspicious_process_count,41.0,175.27796936035156,477.92962646484375,8
beaconing_event_count,47.0,174.9496612548828,391.67840576171875,9
location_deviation,42.0,154.3233642578125,398.6044921875,10
login_hour,195.0,150.12008666992188,363.0874938964844,11
total_download_bytes,208.0,141.948974609375,358.4269714355469,12
database_query_count,155.0,141.45787048339844,696.7761840820312,13
authentication_attempts,149.0,139.14892578125,628.8455810546875,14
failed_login_count,474.0,115.39299774169922,615.6178588867188,15
failed_login_ratio,38.0,108.25279998779297,613.66796875,16
device_deviation,227.0,104.56723022460938,503.47003173828125,17
vpn_used,12.0,85.4931640625,262.7504577636719,18
network_connections,41.0,83.21751403808594,136.89024353027344,19
event_sequence_length,7.0,80.98145294189453,283.5023498535156,20
admin_access_position,604.0,80.62510681152344,502.1250915527344,21
logout_hour,50.0,76.25486755371094,212.72564697265625,22
admin_resource_accesses,224.0,76.10984802246094,450.23223876953125,23
remote_session,43.0,62.5251579284668,313.9161682128906,24
unique_destination_ips,32.0,58.825279235839844,718.9900512695312,25
process_execution_position,501.0,52.92160415649414,515.0756225585938,26
unique_event_types,95.0,51.2802619934082,301.3367614746094,27
processes_started,344.0,48.73078155517578,396.48211669921875,28
resource_event_ratio,762.0,46.576332092285156,366.842529296875,29
minimum_idle_time,556.0,46.15717697143555,593.9222412109375,30
process_event_ratio,290.0,45.41535186767578,486.2445068359375,31
off_hours_access,5.0,37.45252990722656,189.7996826171875,32
processes_stopped,152.0,33.95981979370117,218.88661193847656,33
file_download_position,94.0,33.93768310546875,380.60064697265625,34
working_hours_deviation,395.0,33.50912857055664,220.94412231445312,35
sensitive_resource_accesses,170.0,31.85686683654785,335.5257263183594,36
resource_access_deviation,529.0,30.9932918548584,333.32794189453125,37
hrms_access_count,94.0,30.380878448486328,427.4054260253906,38
file_event_ratio,282.0,27.750703811645508,377.0929870605469,39
anomaly_score,19.0,26.66582489013672,262.42864990234375,40
network_event_ratio,24.0,26.066261291503906,249.33119201660156,41
erp_access_count,27.0,25.812685012817383,321.2220458984375,42
events_per_minute,359.0,24.568588256835938,231.29335021972656,43
files_written,256.0,23.022605895996094,260.0335693359375,44
files_read,128.0,22.835691452026367,321.6998291015625,45
files_uploaded,48.0,22.61287498474121,199.34881591796875,46
login_method,3.0,22.07030487060547,191.10955810546875,47
confluence_access_count,167.0,22.014902114868164,332.8951721191406,48
login_event_ratio,353.0,21.589221954345703,348.89654541015625,49
vpn_connections,12.0,21.13711929321289,120.53276824951172,50
operating_system_deviation,164.0,20.323930740356445,359.3556213378906,51
total_resource_accesses,54.0,19.528409957885742,223.80274963378906,52
github_access_count,191.0,18.866531372070312,210.20062255859375,53
reconstruction_error,57.0,18.70098304748535,418.6611022949219,54
total_events,59.0,18.082643508911133,252.6758270263672,55
department,152.0,17.97560691833496,285.467529296875,56
login_to_first_resource_time,347.0,17.306819915771484,347.13507080078125,57
average_time_between_events,229.0,16.728445053100586,198.1072235107422,58
vpn_disconnections,4.0,15.743326187133789,161.6959686279297,59
browser_deviation,67.0,14.471528053283691,236.1925506591797,60
browser,27.0,14.166109085083008,129.06529235839844,61
session_duration,211.0,14.15920639038086,245.9010467529297,62
unique_resources,164.0,12.116194725036621,310.6949462890625,63
operating_system,31.0,10.784331321716309,134.68798828125,64
day_of_week,90.0,10.617855072021484,232.69447326660156,65
maximum_idle_time,156.0,10.172066688537598,103.5901870727539,66
weekend_flag,11.0,5.49371337890625,306.3822937011719,67
malware_execution_count,0.0,0.0,0.0,68
successful_login_count,0.0,0.0,0.0,69
first_event_type,0.0,0.0,0.0,70
last_event_type,0.0,0.0,0.0,71
