feature,mean_abs_shap,rank
failed_login_count,0.255454,1
minimum_idle_time,0.239252,2
admin_access_position,0.216126,3
process_execution_position,0.172898,4
resource_event_ratio,0.141563,5
powershell_executions,0.131636,6
total_upload_bytes,0.130174,7
device_deviation,0.127532,8
unique_source_ips,0.127528,9
total_download_bytes,0.121636,10
login_hour,0.120739,11
database_query_count,0.120589,12
processes_started,0.11892,13
external_connections,0.107506,14
files_downloaded,0.087987,15
admin_resource_accesses,0.0731,16
authentication_attempts,0.073071,17
process_event_ratio,0.072344,18
resource_access_deviation,0.069887,19
session_start_hour,0.05748,20
login_event_ratio,0.049282,21
login_to_first_resource_time,0.034741,22
file_event_ratio,0.034739,23
beaconing_event_count,0.031848,24
working_hours_deviation,0.029155,25
remote_session,0.026008,26
files_written,0.025762,27
events_per_minute,0.024714,28
failed_login_ratio,0.023564,29
confluence_access_count,0.020316,30
location_deviation,0.020268,31
suspicious_process_count,0.019498,32
unique_resources,0.019255,33
operating_system_deviation,0.018856,34
sensitive_resource_accesses,0.017107,35
logout_hour,0.017068,36
department,0.015588,37
unique_event_types,0.015521,38
file_download_position,0.014663,39
session_duration,0.014403,40
average_time_between_events,0.013681,41
files_read,0.011554,42
github_access_count,0.010856,43
processes_stopped,0.010318,44
upload_download_ratio,0.009139,45
maximum_idle_time,0.008938,46
network_connections,0.008572,47
vpn_used,0.00776,48
unique_destination_ips,0.007721,49
total_events,0.007495,50
day_of_week,0.007082,51
hrms_access_count,0.00688,52
files_uploaded,0.005645,53
browser_deviation,0.005483,54
total_resource_accesses,0.004951,55
off_hours_access,0.004448,56
reconstruction_error,0.00383,57
network_event_ratio,0.002786,58
vpn_connections,0.002107,59
erp_access_count,0.001967,60
login_method,0.001733,61
operating_system,0.001616,62
anomaly_score,0.001258,63
browser,0.001243,64
event_sequence_length,0.001066,65
vpn_disconnections,0.00077,66
weekend_flag,0.000514,67
malware_execution_count,0.0,68
last_event_type,0.0,69
first_event_type,0.0,70
successful_login_count,0.0,71
