session_id,is_anomalous,attack_type,risk_score,reconstruction_error,anomaly_score,predicted_label
SES-005777,0,None,5.05,0.298148,0.065703,0
SES-011603,0,None,2.6,0.112874,0.023403,0
SES-005641,0,None,7.45,0.090107,0.018205,0
SES-002310,0,None,6.0,0.105345,0.021684,0
SES-002283,1,Lateral Movement,33.4,0.38543,0.085631,0
SES-001685,0,None,7.75,0.346202,0.076674,0
SES-000724,0,None,0.0,0.134295,0.028293,0
SES-006301,0,None,3.5833,0.699973,0.157445,1
SES-008862,0,None,2.1929,0.171112,0.036699,0
SES-011977,0,None,9.45,0.13085,0.027507,0
SES-004733,0,None,3.775,0.171853,0.036868,0
SES-011477,0,None,4.025,0.071561,0.01397,0
SES-009961,0,None,3.275,0.107081,0.02208,0
SES-002955,0,None,2.3,0.16254,0.034742,0
SES-004532,0,None,2.8,0.250591,0.054845,0
SES-000324,0,None,0.0,0.439825,0.09805,0
SES-004318,0,None,2.3409,0.156357,0.03333,0
SES-003867,0,None,6.5077,0.376316,0.08355,0
SES-009648,0,None,6.1562,0.11153,0.023096,0
SES-009682,0,None,5.0187,0.174233,0.037412,0
SES-008896,0,None,3.1857,0.549875,0.123176,0
SES-000898,1,Off-hours Access,22.58,0.109425,0.022615,0
SES-006381,1,Suspicious PowerShell,40.3167,0.247293,0.054092,0
SES-008558,0,None,2.025,0.180042,0.038738,0
SES-012343,0,None,4.15,0.150708,0.032041,0
SES-000694,0,None,5.4933,0.102659,0.021071,0
SES-000716,0,None,4.75,0.104766,0.021552,0
SES-009793,0,None,2.1,0.160104,0.034186,0
SES-001044,0,None,2.7937,0.164922,0.035286,0
SES-003589,0,None,5.4,0.191346,0.041319,0
SES-008915,0,None,5.0714,0.171889,0.036877,0
SES-008678,0,None,12.8375,0.164221,0.035126,0
SES-002754,0,None,9.0429,0.171818,0.03686,0
SES-002234,0,None,5.375,0.230815,0.05033,0
SES-003087,0,None,4.9594,0.307157,0.06776,0
